Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1927972279,4/14/2016,2163,0,9,88,1292,2383
1927972279,4/15/2016,980,0,0,51,941,2221
1927972279,4/16/2016,0,0,0,0,1440,2064
1927972279,4/17/2016,0,0,0,0,1440,2063
1927972279,4/18/2016,244,0,0,17,1423,2111
1927972279,4/19/2016,0,0,0,0,1440,2063
1927972279,4/20/2016,0,0,0,0,1440,2063
1927972279,4/21/2016,0,0,0,0,1440,2064
1927972279,4/22/2016,149,0,0,10,1430,2093
1927972279,4/23/2016,2945,0,0,145,1295,2499
1927972279,4/24/2016,2090,1,6,75,1358,2324
1927972279,4/25/2016,152,0,0,12,1303,2100
1927972279,4/26/2016,3761,0,0,192,1058,2638
1927972279,4/27/2016,0,0,0,0,1440,2063
1927972279,4/28/2016,1675,0,0,95,1167,2351
1927972279,4/29/2016,0,0,0,0,1440,2063
1927972279,4/30/2016,0,0,0,0,1440,2064
1927972279,05-01-2016,2704,14,1,70,1355,2411
1927972279,05-02-2016,3790,16,8,94,1322,2505
1927972279,05-03-2016,1326,10,0,17,1413,2195
1927972279,05-04-2016,1786,0,0,87,1353,2338
1927972279,05-05-2016,0,0,0,0,1440,2063
1927972279,05-06-2016,2091,0,0,108,1332,2383
1927972279,05-07-2016,1510,0,0,48,1392,2229
1927972279,05-08-2016,0,0,0,0,1440,2063
1927972279,05-09-2016,0,0,0,0,1440,2063
1927972279,05-10-2016,0,0,0,0,1440,2063
1927972279,05-11-2016,0,0,0,0,1440,2063
1927972279,05-12-2016,0,0,0,0,966,1383
2022484408,04-12-2016,11875,42,14,227,1157,2390
2022484408,4/13/2016,12024,43,5,292,1100,2601
2022484408,4/14/2016,10690,32,3,257,1148,2312
2022484408,4/15/2016,11034,27,9,282,1122,2525
2022484408,4/16/2016,10100,41,11,151,1237,2177
2022484408,4/17/2016,15112,28,29,331,1052,2782
2022484408,4/18/2016,14131,48,3,311,1078,2770
2022484408,4/19/2016,11548,31,7,250,1152,2489
2022484408,4/20/2016,15112,48,63,276,1053,2897
2022484408,4/21/2016,12453,104,53,255,1028,3158
2022484408,4/22/2016,12954,52,10,273,1105,2638
2022484408,4/23/2016,6001,0,0,249,1191,2069
2022484408,4/24/2016,13481,37,26,216,1161,2529
2022484408,4/25/2016,11369,44,8,217,1171,2470
2022484408,4/26/2016,10119,55,24,275,1086,2793
2022484408,4/27/2016,10159,19,20,282,1119,2463
2022484408,4/28/2016,10140,6,20,291,1123,2296
2022484408,4/29/2016,10245,21,40,281,1098,2611
2022484408,4/30/2016,18387,13,23,361,1043,2732
2022484408,05-01-2016,10538,25,28,245,1142,2380
2022484408,05-02-2016,10379,36,8,277,1119,2473
2022484408,05-03-2016,12183,72,14,250,1104,2752
2022484408,05-04-2016,11768,36,27,272,1105,2649
2022484408,05-05-2016,11895,55,20,253,1112,2609
2022484408,05-06-2016,10227,24,17,295,1104,2498
2022484408,05-07-2016,6708,20,2,149,1269,1995
2022484408,05-08-2016,3292,0,0,135,1305,1848
2022484408,05-09-2016,13379,35,47,297,1061,2709
2022484408,05-10-2016,12798,57,28,271,1084,2797
2022484408,05-11-2016,13272,58,25,224,1133,2544
2022484408,05-12-2016,9117,16,16,236,728,1853
2026352035,04-12-2016,4414,3,8,181,706,1459
2026352035,4/13/2016,4993,0,0,238,663,1521
2026352035,4/14/2016,3335,0,0,197,653,1431
2026352035,4/15/2016,3821,0,0,188,687,1444
2026352035,4/16/2016,2547,0,0,150,728,1373
2026352035,4/17/2016,838,0,0,60,1053,1214
2026352035,4/18/2016,3325,0,0,182,1062,1419
2026352035,4/19/2016,2424,0,0,141,785,1356
2026352035,4/20/2016,7222,0,0,327,623,1667
2026352035,4/21/2016,2467,0,0,153,749,1370
2026352035,4/22/2016,2915,0,0,162,712,1399
2026352035,4/23/2016,12357,0,0,432,458,1916
2026352035,4/24/2016,3490,0,0,164,704,1401
2026352035,4/25/2016,6017,0,0,260,821,1576
2026352035,4/26/2016,5933,0,0,288,1018,1595
2026352035,4/27/2016,6088,0,0,286,586,1593
2026352035,4/28/2016,6375,0,0,331,626,1649
2026352035,4/29/2016,7604,0,0,352,492,1692
2026352035,4/30/2016,4729,0,0,233,594,1506
2026352035,05-01-2016,3609,0,0,191,716,1447
2026352035,05-02-2016,7018,0,0,355,716,1690
2026352035,05-03-2016,5992,0,0,304,981,1604
2026352035,05-04-2016,6564,0,0,345,530,1658
2026352035,05-05-2016,12167,0,0,475,479,1926
2026352035,05-06-2016,8198,0,0,383,511,1736
2026352035,05-07-2016,4193,0,0,229,665,1491
2026352035,05-08-2016,5528,0,0,258,610,1555
2026352035,05-09-2016,10685,0,0,401,543,1869
2026352035,05-10-2016,254,0,0,17,1002,1141
2026352035,05-11-2016,8580,0,0,330,569,1698
2026352035,05-12-2016,8891,0,0,343,330,1364
2320127002,04-12-2016,10725,13,9,306,1112,2124
2320127002,4/13/2016,7275,0,0,335,1105,2003
2320127002,4/14/2016,3973,0,0,191,1249,1696
2320127002,4/15/2016,5205,0,0,245,1195,1801
2320127002,4/16/2016,5057,0,0,195,1245,1724
2320127002,4/17/2016,6198,0,0,249,1191,1852
2320127002,4/18/2016,6559,0,7,260,1173,1905
2320127002,4/19/2016,5997,0,11,228,1201,1811
2320127002,4/20/2016,7192,0,11,283,1146,1922
2320127002,4/21/2016,3404,1,10,127,1302,1610
2320127002,4/22/2016,5583,0,0,266,1174,1851
2320127002,4/23/2016,5079,0,0,242,1129,1804
2320127002,4/24/2016,4165,0,0,204,1236,1725
2320127002,4/25/2016,3588,3,5,152,1280,1654
2320127002,4/26/2016,3409,0,0,147,1293,1632
2320127002,4/27/2016,1715,0,0,82,1358,1481
2320127002,4/28/2016,1532,0,0,76,1364,1473
2320127002,4/29/2016,924,0,0,45,1395,1410
2320127002,4/30/2016,4571,0,0,234,1206,1779
2320127002,05-01-2016,772,0,0,40,1400,1403
2320127002,05-02-2016,3634,5,6,123,1306,1613
2320127002,05-03-2016,7443,20,10,206,1204,1878
2320127002,05-04-2016,1201,0,0,52,1388,1426
2320127002,05-05-2016,5202,0,11,223,1206,1780
2320127002,05-06-2016,4878,0,0,204,1236,1742
2320127002,05-07-2016,7379,0,0,319,1121,1972
2320127002,05-08-2016,5161,0,0,247,1193,1821
2320127002,05-09-2016,3090,0,0,145,1295,1630
2320127002,05-10-2016,6227,0,0,290,1150,1899
2320127002,05-11-2016,6424,0,0,300,1140,1903
2320127002,05-12-2016,2661,0,0,128,830,1125
2347167796,04-12-2016,10113,28,13,320,964,2344
2347167796,4/13/2016,10352,19,32,195,676,2038
2347167796,4/14/2016,10129,1,48,206,705,2010
2347167796,4/15/2016,10465,1,24,284,720,2133
2347167796,4/16/2016,22244,66,72,268,968,2670
2347167796,4/17/2016,5472,1,7,249,508,1882
2347167796,4/18/2016,8247,11,16,206,678,1944
2347167796,4/19/2016,6711,0,7,382,648,2346
2347167796,4/20/2016,10999,11,43,269,1011,2198
2347167796,4/21/2016,10080,23,26,208,761,2048
2347167796,4/22/2016,7804,9,27,206,781,1946
2347167796,4/23/2016,16901,32,35,360,591,2629
2347167796,4/24/2016,9471,0,0,360,584,2187
2347167796,4/25/2016,9482,15,11,277,653,2095
2347167796,4/26/2016,5980,0,0,227,732,1861
2347167796,4/27/2016,11423,26,9,295,623,2194
2347167796,4/28/2016,5439,0,0,229,764,1854
2347167796,4/29/2016,42,0,0,4,2,403
2873212765,04-12-2016,8796,2,21,356,1061,1982
2873212765,4/13/2016,7618,0,8,404,1028,2004
2873212765,4/14/2016,7910,0,0,331,1109,1893
2873212765,4/15/2016,8482,0,0,448,992,2063
2873212765,4/16/2016,9685,47,1,305,1087,2148
2873212765,4/17/2016,2524,0,8,160,1272,1529
2873212765,4/18/2016,7762,1,6,311,1122,1890
2873212765,4/19/2016,7948,0,0,389,1051,1956
2873212765,4/20/2016,9202,22,5,378,1035,2094
2873212765,4/21/2016,8859,2,10,371,1057,1970
2873212765,4/22/2016,7286,46,0,366,1028,2241
2873212765,4/23/2016,9317,28,5,330,1077,2021
2873212765,4/24/2016,6873,46,1,190,1203,1898
2873212765,4/25/2016,7373,0,0,359,1081,1907
2873212765,4/26/2016,8242,2,5,309,1124,1882
2873212765,4/27/2016,3516,46,0,197,1197,1966
2873212765,4/28/2016,7913,28,7,213,1192,1835
2873212765,4/29/2016,7365,20,23,206,1191,1780
2873212765,4/30/2016,8452,5,20,248,1167,1830
2873212765,05-01-2016,7399,7,18,196,1219,1739
2873212765,05-02-2016,7525,0,7,334,1099,1878
2873212765,05-03-2016,7412,1,6,363,1070,1906
2873212765,05-04-2016,8278,0,0,420,1020,2015
2873212765,05-05-2016,8314,13,23,311,1093,1971
2873212765,05-06-2016,7063,0,5,370,1065,1910
2873212765,05-07-2016,4940,75,11,52,1302,1897
2873212765,05-08-2016,8168,46,0,326,1068,2096
2873212765,05-09-2016,7726,0,0,345,1095,1906
2873212765,05-10-2016,8275,0,0,373,1067,1962
2873212765,05-11-2016,6440,0,0,319,1121,1826
2873212765,05-12-2016,7566,0,0,268,720,1431
3372868164,04-12-2016,4747,0,0,280,1160,1788
3372868164,4/13/2016,9715,16,8,371,1045,2093
3372868164,4/14/2016,8844,6,25,370,1039,2065
3372868164,4/15/2016,7451,0,0,335,1105,1908
3372868164,4/16/2016,6905,0,0,356,1084,1908
3372868164,4/17/2016,8199,11,2,322,1105,1964
3372868164,4/18/2016,6798,20,7,343,1070,2014
3372868164,4/19/2016,7711,0,0,376,1064,1985
3372868164,4/20/2016,4880,15,3,274,1148,1867
3372868164,4/21/2016,8857,18,9,376,1037,2124
3372868164,4/22/2016,3843,0,0,206,1234,1669
3372868164,4/23/2016,7396,20,2,303,1115,1995
3372868164,4/24/2016,6731,14,7,292,1127,1921
3372868164,4/25/2016,5995,0,0,416,1024,2010
3372868164,4/26/2016,8283,22,2,333,1083,2057
3372868164,4/27/2016,7904,24,13,346,1057,2095
3372868164,4/28/2016,5512,0,0,385,1055,1972
3372868164,4/29/2016,9135,0,0,402,1038,2044
3372868164,4/30/2016,5250,17,4,300,1119,1946
3372868164,05-01-2016,3077,0,0,172,842,1237
3977333714,04-12-2016,8856,44,19,131,777,1450
3977333714,4/13/2016,10035,31,46,153,754,1495
3977333714,4/14/2016,7641,5,23,214,801,1433
3977333714,4/15/2016,9010,15,42,183,644,1468
3977333714,4/16/2016,13459,31,83,153,663,1625
3977333714,4/17/2016,10415,11,58,205,600,1529
3977333714,4/18/2016,11663,4,95,214,605,1584
3977333714,4/19/2016,12414,19,67,221,738,1638
3977333714,4/20/2016,11658,2,98,164,845,1554
3977333714,4/21/2016,6093,0,0,242,712,1397
3977333714,4/22/2016,8911,33,12,188,731,1481
3977333714,4/23/2016,12058,0,92,252,724,1638
3977333714,4/24/2016,14112,30,95,129,660,1655
3977333714,4/25/2016,11177,50,9,133,781,1570
3977333714,4/26/2016,11388,7,95,170,797,1551
3977333714,4/27/2016,7193,0,10,176,714,1377
3977333714,4/28/2016,7114,15,8,190,804,1407
3977333714,4/29/2016,10645,36,32,150,744,1545
3977333714,4/30/2016,13238,43,52,194,687,1650
3977333714,05-01-2016,10414,41,40,124,691,1501
3977333714,05-02-2016,16520,24,143,176,713,1760
3977333714,05-03-2016,14335,47,41,258,594,1710
3977333714,05-04-2016,13559,14,96,142,852,1628
3977333714,05-05-2016,12312,14,88,178,680,1618
3977333714,05-06-2016,11677,29,55,168,676,1590
3977333714,05-07-2016,11550,0,86,208,703,1574
3977333714,05-08-2016,13585,9,116,171,688,1633
3977333714,05-09-2016,14687,8,122,151,1159,1667
3977333714,05-10-2016,13072,1,115,196,676,1630
3977333714,05-11-2016,746,4,0,9,13,52
4020332650,04-12-2016,8539,4,15,331,712,3654
4020332650,4/13/2016,0,0,0,0,1440,1981
4020332650,4/14/2016,108,0,0,3,1437,2011
4020332650,4/15/2016,1882,36,18,87,1299,2951
4020332650,4/16/2016,1982,65,21,55,1222,3051
4020332650,4/17/2016,16,0,0,2,1438,1990
4020332650,4/18/2016,62,0,0,2,1438,1995
4020332650,4/19/2016,0,0,0,0,1440,1980
4020332650,4/20/2016,0,0,0,0,1440,1980
4020332650,4/21/2016,0,0,0,0,1440,1980
4020332650,4/22/2016,0,0,0,0,1440,1980
4020332650,4/23/2016,0,0,0,0,1440,1980
4020332650,4/24/2016,0,0,0,0,1440,1980
4020332650,4/25/2016,0,0,0,0,1440,1980
4020332650,4/26/2016,0,0,0,0,1440,1980
4020332650,4/27/2016,0,0,0,0,1440,1980
4020332650,4/28/2016,0,0,0,0,1440,1980
4020332650,4/29/2016,0,0,0,0,1440,1980
4020332650,4/30/2016,0,0,0,0,1440,1980
4020332650,05-01-2016,0,0,0,0,1440,1980
4020332650,05-02-2016,475,0,11,31,1350,2207
4020332650,05-03-2016,4496,0,0,174,950,2828
4020332650,05-04-2016,10252,13,46,346,531,3879
4020332650,05-05-2016,11728,38,42,196,916,3429
4020332650,05-06-2016,4369,0,0,177,855,2704
4020332650,05-07-2016,6132,0,0,184,1256,2975
4020332650,05-08-2016,5862,0,0,263,775,3089
4020332650,05-09-2016,4556,3,5,173,1225,2785
4020332650,05-10-2016,5546,0,0,206,774,2926
4020332650,05-11-2016,3689,2,8,134,1296,2645
4020332650,05-12-2016,590,0,0,21,721,1120
4057192912,04-12-2016,5394,0,0,164,1276,2286
4057192912,4/13/2016,5974,0,0,160,1280,2306
4057192912,4/14/2016,0,0,0,0,1440,1776
4057192912,4/15/2016,3984,3,6,88,873,1527
4319703577,04-12-2016,7753,0,0,0,1440,2115
4319703577,4/13/2016,8204,8,15,96,1234,2135
4319703577,4/14/2016,10210,1,9,339,589,2302
4319703577,4/15/2016,5664,0,0,228,752,1985
4319703577,4/16/2016,4744,0,0,194,724,1884
4319703577,4/17/2016,29,0,0,3,1363,1464
4319703577,4/18/2016,2276,1,9,58,824,1632
4319703577,4/19/2016,8925,0,0,311,604,2200
4319703577,4/20/2016,8954,0,18,306,671,2220
4319703577,4/21/2016,3702,0,0,34,1265,1792
4319703577,4/22/2016,4500,1,19,176,709,1886
4319703577,4/23/2016,4935,0,0,233,546,1945
4319703577,4/24/2016,4081,1,5,191,692,1880
4319703577,4/25/2016,9259,0,8,390,544,2314
4319703577,4/26/2016,9899,8,21,288,649,2236
4319703577,4/27/2016,10780,6,47,300,680,2324
4319703577,4/28/2016,10817,13,8,359,552,2367
4319703577,4/29/2016,7990,6,18,289,624,2175
4319703577,4/30/2016,8221,6,38,196,695,2092
4319703577,05-01-2016,1251,0,0,67,836,1593
4319703577,05-02-2016,9261,0,11,344,585,2270
4319703577,05-03-2016,9648,8,26,287,669,2235
4319703577,05-04-2016,10429,8,13,313,1106,2282
4319703577,05-05-2016,13658,27,34,328,957,2530
4319703577,05-06-2016,9524,6,11,314,692,2266
4319703577,05-07-2016,7937,3,28,279,586,2158
4319703577,05-08-2016,3672,0,0,153,603,1792
4319703577,05-09-2016,10378,2,14,374,490,2345
4319703577,05-10-2016,9487,3,12,329,555,2260
4319703577,05-11-2016,9129,3,18,311,574,2232
4319703577,05-12-2016,17,0,0,2,0,257
4388161847,04-12-2016,10122,0,0,0,1440,2955
4388161847,4/13/2016,10993,1,14,150,1275,3092
4388161847,4/14/2016,8863,10,35,219,945,2998
4388161847,4/15/2016,8758,0,0,299,837,3066
4388161847,4/16/2016,6580,6,9,253,609,3073
4388161847,4/17/2016,4660,0,0,201,721,2572
4388161847,4/18/2016,11009,27,8,239,1017,3274
4388161847,4/19/2016,10181,20,16,249,704,3015
4388161847,4/20/2016,10553,19,42,228,696,3083
4388161847,4/21/2016,10055,7,12,272,853,3069
4388161847,4/22/2016,12139,77,25,220,945,3544
4388161847,4/23/2016,13236,58,5,215,749,3306
4388161847,4/24/2016,10243,14,8,239,584,2885
4388161847,4/25/2016,12961,11,31,301,1054,3288
4388161847,4/26/2016,9461,14,23,224,673,2929
4388161847,4/27/2016,11193,11,48,241,684,3074
4388161847,4/28/2016,10074,19,9,234,878,2969
4388161847,4/29/2016,9232,13,16,236,1175,2979
4388161847,4/30/2016,12533,14,43,300,537,3283
4388161847,05-01-2016,10255,12,15,241,579,2926
4388161847,05-02-2016,10096,33,4,204,935,3147
4388161847,05-03-2016,12727,18,18,306,984,3290
4388161847,05-04-2016,12375,35,21,251,632,3162
4388161847,05-05-2016,9603,12,39,199,896,2899
4388161847,05-06-2016,13175,33,45,262,1100,3425
4388161847,05-07-2016,22770,120,56,260,508,4022
4388161847,05-08-2016,17298,107,38,178,576,3934
4388161847,05-09-2016,10218,6,19,258,1020,3013
4388161847,05-10-2016,10299,13,14,267,648,3061
4388161847,05-11-2016,10201,8,18,256,858,2954
4388161847,05-12-2016,3369,0,0,108,825,1623
4445114986,04-12-2016,3276,0,0,196,787,2113
4445114986,4/13/2016,2961,0,0,194,840,2095
4445114986,4/14/2016,3974,0,0,231,717,2194
4445114986,4/15/2016,7198,0,0,350,711,2496
4445114986,4/16/2016,3945,0,0,225,716,2180
4445114986,4/17/2016,2268,0,0,114,1219,1933
4445114986,4/18/2016,6155,25,6,162,1247,2248
4445114986,4/19/2016,2064,0,0,121,895,1954
4445114986,4/20/2016,2072,0,0,137,841,1974
4445114986,4/21/2016,3809,0,0,215,756,2150
4445114986,4/22/2016,6831,0,0,317,706,2432
4445114986,4/23/2016,4363,0,0,201,1239,2149
4445114986,4/24/2016,5002,0,0,244,1196,2247
4445114986,4/25/2016,3385,0,0,179,916,2070
4445114986,4/26/2016,6326,29,1,180,839,2291
4445114986,4/27/2016,7243,32,1,194,839,2361
4445114986,4/28/2016,4493,0,0,236,762,2203
4445114986,4/29/2016,4676,0,0,226,1106,2196
4445114986,4/30/2016,6222,0,0,290,797,2363
4445114986,05-01-2016,5232,0,0,240,741,2246
4445114986,05-02-2016,6910,27,4,200,667,2336
4445114986,05-03-2016,7502,30,2,233,725,2421
4445114986,05-04-2016,2923,0,0,180,897,2070
4445114986,05-05-2016,3800,2,6,185,734,2120
4445114986,05-06-2016,4514,0,0,229,809,2211
4445114986,05-07-2016,5183,26,4,108,866,2123
4445114986,05-08-2016,7303,0,8,308,733,2423
4445114986,05-09-2016,5275,0,0,266,641,2281
4445114986,05-10-2016,3915,0,0,231,783,2181
4445114986,05-11-2016,9105,34,22,232,622,2499
4445114986,05-12-2016,768,0,0,58,380,1212
4558609924,04-12-2016,5135,0,0,318,1122,1909
4558609924,4/13/2016,4978,19,7,127,1287,1722
4558609924,4/14/2016,6799,0,0,279,1161,1922
4558609924,4/15/2016,7795,17,30,262,1131,2121
4558609924,4/16/2016,7289,8,12,308,1112,1997
4558609924,4/17/2016,9634,7,19,304,1110,2117
4558609924,4/18/2016,8940,14,15,331,1080,2116
4558609924,4/19/2016,5401,1,9,248,1182,1876
4558609924,4/20/2016,4803,0,0,222,1218,1788
4558609924,4/21/2016,13743,6,21,432,844,2486
4558609924,4/22/2016,9601,20,25,273,1122,2094
4558609924,4/23/2016,6890,5,5,308,1122,2085
4558609924,4/24/2016,8563,0,0,395,1045,2173
4558609924,4/25/2016,8095,18,10,340,993,2225
4558609924,4/26/2016,9148,12,41,283,1062,2223
4558609924,4/27/2016,9557,27,14,312,1087,2098
4558609924,4/28/2016,9451,1,11,367,985,2185
4558609924,4/29/2016,7833,15,29,197,1096,1918
4558609924,4/30/2016,10319,7,29,293,1111,2105
4558609924,05-01-2016,3428,0,0,190,1121,1692
4558609924,05-02-2016,7891,0,0,383,1057,2066
4558609924,05-03-2016,5267,21,10,237,1172,1953
4558609924,05-04-2016,5232,0,0,252,1188,1842
4558609924,05-05-2016,10611,14,8,370,1048,2262
4558609924,05-06-2016,3755,0,0,202,1238,1722
4558609924,05-07-2016,8237,23,16,233,1116,1973
4558609924,05-08-2016,6543,66,35,238,1019,2666
4558609924,05-09-2016,11451,6,30,339,1065,2223
4558609924,05-10-2016,6435,11,18,220,1191,1889
4558609924,05-11-2016,9108,4,31,324,1081,2131
4558609924,05-12-2016,6307,0,0,247,736,1452
4702921684,04-12-2016,7213,0,0,263,718,2947
4702921684,4/13/2016,6877,0,0,258,777,2898
4702921684,4/14/2016,7860,0,0,271,772,2984
4702921684,4/15/2016,6506,1,8,256,944,2896
4702921684,4/16/2016,11140,3,24,335,556,3328
4702921684,4/17/2016,12692,12,66,302,437,3394
4702921684,4/18/2016,9105,22,30,191,890,3013
4702921684,4/19/2016,6708,10,8,179,757,2812
4702921684,4/20/2016,8793,2,29,260,717,3061
4702921684,4/21/2016,6530,4,41,144,901,2729
4702921684,4/22/2016,1664,0,0,72,1341,2241
4702921684,4/23/2016,15126,9,66,408,469,3691
4702921684,4/24/2016,15050,15,95,281,542,3538
4702921684,4/25/2016,9167,6,15,270,730,3064
4702921684,4/26/2016,6108,1,8,216,765,2784
4702921684,4/27/2016,7047,1,16,238,733,2908
4702921684,4/28/2016,9023,14,9,232,738,3033
4702921684,4/29/2016,9930,12,19,267,692,3165
4702921684,4/30/2016,10144,4,36,263,728,3115
